2017 American Community Survey (1-year estimates),,,,,,,,,,,,,,,,,,,,,,
HEALTH INSURANCE COVERAGE,,,,,,,,,,,,,,,,,,,,,,
"California, Counties and Places with 65,000+ Population",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Civilian noninstitutionalized population,,"With health insurance coverage - 
Total",,,,"With health insurance coverage - 
private health insurance 
(alone or with public coverage)",,,,"With health insurance coverage - 
public coverage 
(alone or with private coverage)",,,,No health insurance coverage,,,,,,,
Chino city,"70,233","+/-2,270","65,416","+/-2,497",93.1,+/-2.2,"43,394","+/-4,772",61.8,+/-6.3,"26,020","+/-3,967",37.0,+/-5.7,"4,817","+/-1,566",6.9,+/-2.2,,160,071,13210
Chino Hills city,"80,280",+/-275,"79,004",+/-747,98.4,+/-0.8,"63,769","+/-3,632",79.4,+/-4.5,"19,751","+/-4,037",24.6,+/-5.0,"1,276",+/-626,1.6,+/-0.8,,160,071,13214
Fontana city,"211,368",+/-362,"190,613","+/-4,801",90.2,+/-2.3,"119,385","+/-7,369",56.5,+/-3.5,"78,947","+/-5,688",37.4,+/-2.7,"20,755","+/-4,766",9.8,+/-2.3,,160,071,24680
Hesperia city,"94,708",+/-225,"89,768","+/-1,868",94.8,+/-2.0,"48,202","+/-5,698",50.9,+/-6.0,"48,606","+/-6,391",51.3,+/-6.7,"4,940","+/-1,862",5.2,+/-2.0,,160,071,33434
Ontario city,"175,247",+/-398,"159,352","+/-2,777",90.9,+/-1.6,"95,007","+/-5,501",54.2,+/-3.1,"75,785","+/-5,299",43.2,+/-3.0,"15,895","+/-2,746",9.1,+/-1.6,,160,071,53896
Rancho Cucamonga city,"174,509",+/-646,"166,890","+/-2,302",95.6,+/-1.3,"135,096","+/-4,484",77.4,+/-2.6,"44,419","+/-4,678",25.5,+/-2.7,"7,619","+/-2,255",4.4,+/-1.3,,160,071,59451
Redlands city,"70,942",+/-444,"67,942","+/-1,318",95.8,+/-1.7,"50,643","+/-3,415",71.4,+/-4.8,"24,988","+/-3,535",35.2,+/-5.0,"3,000","+/-1,218",4.2,+/-1.7,,160,071,59962
Rialto city,"103,332",+/-304,"92,177","+/-2,427",89.2,+/-2.3,"51,643","+/-5,285",50.0,+/-5.1,"47,113","+/-4,864",45.6,+/-4.7,"11,155","+/-2,393",10.8,+/-2.3,,160,071,60466
San Bernardino city,"209,942","+/-1,123","188,692","+/-3,830",89.9,+/-1.7,"93,497","+/-6,329",44.5,+/-3.0,"110,377","+/-6,427",52.6,+/-3.0,"21,250","+/-3,570",10.1,+/-1.7,,160,071,65000
Upland city,"76,615",+/-382,"73,145","+/-1,043",95.5,+/-1.3,"51,676","+/-3,365",67.4,+/-4.4,"27,674","+/-3,243",36.1,+/-4.2,"3,470",+/-993,4.5,+/-1.3,,160,071,81344
Victorville city,"118,407","+/-2,177","109,632","+/-3,288",92.6,+/-2.0,"52,824","+/-7,241",44.6,+/-6.3,"68,192","+/-6,961",57.6,+/-5.6,"8,775","+/-2,348",7.4,+/-2.0,,160,071,82590
San Diego County,"3,239,196","+/-4,912","2,989,604","+/-12,966",92.3,+/-0.4,"2,212,713","+/-22,427",68.3,+/-0.7,"1,092,039","+/-18,516",33.7,+/-0.6,"249,592","+/-12,799",7.7,+/-0.4,,050,073,
Carlsbad city,"114,155",+/-613,"109,266","+/-3,211",95.7,+/-2.7,"95,047","+/-3,778",83.3,+/-3.3,"29,314","+/-3,414",25.7,+/-3.0,"4,889","+/-3,082",4.3,+/-2.7,,160,073,11194
Chula Vista city,"265,126","+/-1,347","244,750","+/-3,856",92.3,+/-1.4,"173,183","+/-7,746",65.3,+/-2.9,"92,802","+/-7,065",35.0,+/-2.7,"20,376","+/-3,824",7.7,+/-1.4,,160,073,13392
El Cajon city,"102,474",+/-817,"95,149","+/-2,196",92.9,+/-2.0,"54,255","+/-3,999",52.9,+/-3.9,"49,235","+/-4,263",48.0,+/-4.1,"7,325","+/-2,096",7.1,+/-2.0,,160,073,21712
Escondido city,"150,965",+/-376,"131,519","+/-3,385",87.1,+/-2.2,"82,059","+/-6,219",54.4,+/-4.1,"60,725","+/-5,421",40.2,+/-3.6,"19,446","+/-3,372",12.9,+/-2.2,,160,073,22804
Oceanside city,"173,499",+/-918,"159,293","+/-3,178",91.8,+/-1.8,"116,345","+/-5,794",67.1,+/-3.4,"66,458","+/-5,270",38.3,+/-3.0,"14,206","+/-3,157",8.2,+/-1.8,,160,073,53322
San Diego city,"1,383,566","+/-3,482","1,276,584","+/-8,788",92.3,+/-0.6,"958,627","+/-16,645",69.3,+/-1.2,"438,662","+/-13,996",31.7,+/-1.0,"106,982","+/-8,551",7.7,+/-0.6,,160,073,66000
San Marcos city,"95,813",+/-266,"87,424","+/-2,249",91.2,+/-2.3,"65,393","+/-4,285",68.3,+/-4.5,"30,536","+/-4,173",31.9,+/-4.3,"8,389","+/-2,237",8.8,+/-2.3,,160,073,68196
Vista city,"99,512",+/-999,"87,029","+/-3,063",87.5,+/-3.1,"57,853","+/-4,224",58.1,+/-4.2,"36,893","+/-4,006",37.1,+/-4.1,"12,483","+/-3,162",12.5,+/-3.1,,160,073,82996
San Francisco County,"880,097","+/-1,111","848,617","+/-3,594",96.4,+/-0.4,"662,633","+/-10,507",75.3,+/-1.2,"262,229","+/-9,659",29.8,+/-1.1,"31,480","+/-3,480",3.6,+/-0.4,,050,075,
San Francisco city,"880,097","+/-1,111","848,617","+/-3,594",96.4,+/-0.4,"662,633","+/-10,507",75.3,+/-1.2,"262,229","+/-9,659",29.8,+/-1.1,"31,480","+/-3,480",3.6,+/-0.4,,160,075,67000
San Joaquin County,"735,416","+/-4,268","686,144","+/-7,182",93.3,+/-0.8,"429,836","+/-12,196",58.4,+/-1.6,"323,809","+/-12,121",44.0,+/-1.6,"49,272","+/-5,718",6.7,+/-0.8,,050,077,
Lodi city,"65,388",+/-237,"59,956","+/-2,386",91.7,+/-3.6,"35,459","+/-3,693",54.2,+/-5.6,"30,889","+/-4,155",47.2,+/-6.4,"5,432","+/-2,361",8.3,+/-3.6,,160,077,42202
Manteca city,"78,944",+/-321,"74,753","+/-1,661",94.7,+/-2.2,"56,986","+/-3,729",72.2,+/-4.7,"25,774","+/-3,452",32.6,+/-4.4,"4,191","+/-1,706",5.3,+/-2.2,,160,077,45484
Stockton city,"308,406",+/-463,"284,808","+/-3,976",92.3,+/-1.3,"153,270","+/-8,441",49.7,+/-2.7,"157,922","+/-9,115",51.2,+/-2.9,"23,598","+/-3,970",7.7,+/-1.3,,160,077,75000
Tracy city,"90,685",+/-141,"86,060","+/-1,592",94.9,+/-1.7,"65,792","+/-3,550",72.6,+/-3.9,"27,847","+/-3,900",30.7,+/-4.3,"4,625","+/-1,586",5.1,+/-1.7,,160,077,80238
San Luis Obispo County,"276,654","+/-2,355","259,949","+/-3,637",94.0,+/-1.2,"200,191","+/-6,754",72.4,+/-2.3,"103,869","+/-5,200",37.5,+/-1.9,"16,705","+/-3,211",6.0,+/-1.2,,050,079,
San Mateo County,"767,094","+/-1,274","735,999","+/-4,270",95.9,+/-0.5,"612,213","+/-10,361",79.8,+/-1.4,"208,582","+/-8,738",27.2,+/-1.1,"31,095","+/-4,120",4.1,+/-0.5,,050,081,
Daly City city,"106,507",+/-488,"101,571","+/-2,097",95.4,+/-1.9,"78,998","+/-4,914",74.2,+/-4.5,"35,587","+/-4,096",33.4,+/-3.9,"4,936","+/-1,996",4.6,+/-1.9,,160,081,17918
Redwood City city,"85,441","+/-1,004","80,985","+/-1,755",94.8,+/-1.8,"66,730","+/-2,983",78.1,+/-3.3,"21,993","+/-2,299",25.7,+/-2.7,"4,456","+/-1,560",5.2,+/-1.8,,160,081,60102
San Mateo city,"104,394",+/-187,"101,303","+/-1,518",97.0,+/-1.4,"83,509","+/-4,947",80.0,+/-4.7,"30,092","+/-3,903",28.8,+/-3.7,"3,091","+/-1,501",3.0,+/-1.4,,160,081,68252
South San Francisco city,"67,378",+/-68,"62,397","+/-1,907",92.6,+/-2.8,"47,888","+/-3,468",71.1,+/-5.1,"21,077","+/-3,540",31.3,+/-5.3,"4,981","+/-1,912",7.4,+/-2.8,,160,081,73262
Santa Barbara County,"441,604","+/-1,479","400,393","+/-4,435",90.7,+/-1.0,"278,693","+/-8,125",63.1,+/-1.8,"170,319","+/-6,352",38.6,+/-1.4,"41,211","+/-4,405",9.3,+/-1.0,,050,083,
Santa Barbara city,"91,712",+/-311,"85,219","+/-1,915",92.9,+/-2.0,"66,227","+/-3,723",72.2,+/-4.0,"30,243","+/-3,659",33.0,+/-4.0,"6,493","+/-1,862",7.1,+/-2.0,,160,083,69070
Santa Maria city,"106,546",+/-238,"87,596","+/-3,291",82.2,+/-3.1,"45,260","+/-5,392",42.5,+/-5.1,"47,385","+/-4,896",44.5,+/-4.6,"18,950","+/-3,295",17.8,+/-3.1,,160,083,69196
Santa Clara County,"1,928,741","+/-1,233","1,849,398","+/-7,222",95.9,+/-0.4,"1,488,343","+/-13,066",77.2,+/-0.7,"519,176","+/-10,895",26.9,+/-0.6,"79,343","+/-7,063",4.1,+/-0.4,,050,085,
Milpitas city,"76,213",+/-414,"75,070",+/-874,98.5,+/-1.0,"60,985","+/-3,497",80.0,+/-4.5,"18,055","+/-3,455",23.7,+/-4.6,"1,143",+/-789,1.5,+/-1.0,,160,085,47766
Mountain View city,"81,307",+/-190,"75,077","+/-2,199",92.3,+/-2.7,"65,143","+/-3,280",80.1,+/-4.0,"14,907","+/-2,665",18.3,+/-3.3,"6,230","+/-2,204",7.7,+/-2.7,,160,085,49670
Palo Alto city,"66,749",+/-254,"65,501",+/-717,98.1,+/-1.0,"60,347","+/-1,864",90.4,+/-2.8,"13,380","+/-1,812",20.0,+/-2.7,"1,248",+/-690,1.9,+/-1.0,,160,085,55282
San Jose city,"1,031,513","+/-1,178","982,229","+/-5,153",95.2,+/-0.5,"751,317","+/-10,721",72.8,+/-1.0,"312,089","+/-10,594",30.3,+/-1.0,"49,284","+/-5,111",4.8,+/-0.5,,160,085,68000
Santa Clara city,"126,820",+/-326,"124,719",+/-773,98.3,+/-0.5,"103,301","+/-3,602",81.5,+/-2.9,"31,629","+/-3,493",24.9,+/-2.7,"2,101",+/-691,1.7,+/-0.5,,160,085,69084
Sunnyvale city,"153,072",+/-303,"147,171","+/-1,649",96.1,+/-1.0,"126,034","+/-4,473",82.3,+/-2.9,"33,291","+/-4,029",21.7,+/-2.6,"5,901","+/-1,603",3.9,+/-1.0,,160,085,77000
Santa Cruz County,"274,486",+/-759,"259,271","+/-3,400",94.5,+/-1.2,"193,353","+/-6,589",70.4,+/-2.4,"95,149","+/-5,193",34.7,+/-1.9,"15,215","+/-3,360",5.5,+/-1.2,,050,087,
Santa Cruz city,"64,599",+/-703,"61,260","+/-2,191",94.8,+/-3.2,"50,622","+/-2,898",78.4,+/-4.5,"16,481","+/-2,402",25.5,+/-3.7,"3,339","+/-2,076",5.2,+/-3.2,,160,087,69112
Shasta County,"178,508",+/-731,"166,963","+/-1,980",93.5,+/-1.0,"108,055","+/-5,666",60.5,+/-3.1,"87,075","+/-5,061",48.8,+/-2.9,"11,545","+/-1,828",6.5,+/-1.0,,050,089,
Redding city,"90,659",+/-706,"85,697","+/-1,493",94.5,+/-1.4,"55,278","+/-3,984",61.0,+/-4.4,"41,974","+/-4,129",46.3,+/-4.5,"4,962","+/-1,307",5.5,+/-1.4,,160,089,59920
Solano County,"432,898","+/-1,608","411,829","+/-3,788",95.1,+/-0.8,"314,431","+/-7,730",72.6,+/-1.8,"161,512","+/-7,394",37.3,+/-1.7,"21,069","+/-3,607",4.9,+/-0.8,,050,095,
Fairfield city,"113,183","+/-1,173","108,590","+/-1,815",95.9,+/-1.3,"82,346","+/-3,937",72.8,+/-3.4,"40,811","+/-4,029",36.1,+/-3.5,"4,593","+/-1,454",4.1,+/-1.3,,160,095,23182
Vacaville city,"91,886","+/-1,189","87,538","+/-2,103",95.3,+/-2.0,"69,989","+/-3,821",76.2,+/-4.1,"31,699","+/-3,352",34.5,+/-3.6,"4,348","+/-1,883",4.7,+/-2.0,,160,095,81554
Vallejo city,"121,457",+/-365,"114,297","+/-2,072",94.1,+/-1.6,"81,274","+/-4,498",66.9,+/-3.7,"48,717","+/-4,418",40.1,+/-3.6,"7,160","+/-1,982",5.9,+/-1.6,,160,095,81666
Sonoma County,"500,585",+/-938,"473,956","+/-3,696",94.7,+/-0.7,"359,260","+/-8,205",71.8,+/-1.6,"188,638","+/-7,562",37.7,+/-1.5,"26,629","+/-3,564",5.3,+/-0.7,,050,097,
Santa Rosa city,"173,666",+/-398,"160,637","+/-3,026",92.5,+/-1.7,"119,624","+/-5,457",68.9,+/-3.2,"65,140","+/-5,132",37.5,+/-2.9,"13,029","+/-2,975",7.5,+/-1.7,,160,097,70098
Stanislaus County,"544,767","+/-1,088","516,892","+/-3,731",94.9,+/-0.6,"315,177","+/-9,905",57.9,+/-1.8,"251,539","+/-8,358",46.2,+/-1.5,"27,875","+/-3,528",5.1,+/-0.6,,050,099,
Modesto city,"212,667",+/-556,"202,000","+/-2,069",95.0,+/-1.0,"121,558","+/-6,258",57.2,+/-2.9,"104,434","+/-5,697",49.1,+/-2.7,"10,667","+/-2,104",5.0,+/-1.0,,160,099,48354
Turlock city,"73,095",+/-258,"69,492","+/-1,407",95.1,+/-1.8,"46,767","+/-3,765",64.0,+/-5.1,"30,022","+/-3,545",41.1,+/-4.8,"3,603","+/-1,349",4.9,+/-1.8,,160,099,80812
Sutter County,"95,104",+/-584,"88,465","+/-1,759",93.0,+/-1.8,"53,236","+/-3,942",56.0,+/-4.1,"47,704","+/-3,777",50.2,+/-4.0,"6,639","+/-1,668",7.0,+/-1.8,,050,101,
Yuba City city,"65,543",+/-549,"60,444","+/-1,781",92.2,+/-2.5,"35,352","+/-3,330",53.9,+/-5.0,"33,925","+/-3,495",51.8,+/-5.3,"5,099","+/-1,654",7.8,+/-2.5,,160,101,86972
Tulare County,"460,812",+/-578,"427,085","+/-3,400",92.7,+/-0.7,"198,318","+/-8,770",43.0,+/-1.9,"264,835","+/-10,194",57.5,+/-2.2,"33,727","+/-3,276",7.3,+/-0.7,,050,107,
Visalia city,"132,129",+/-583,"125,126","+/-2,296",94.7,+/-1.7,"74,919","+/-5,952",56.7,+/-4.5,"63,930","+/-5,978",48.4,+/-4.5,"7,003","+/-2,185",5.3,+/-1.7,,160,107,82954
Ventura County,"847,390","+/-1,360","775,810","+/-6,085",91.6,+/-0.7,"575,562","+/-8,720",67.9,+/-1.0,"283,816","+/-8,198",33.5,+/-1.0,"71,580","+/-5,978",8.4,+/-0.7,,050,111,
Camarillo city,"67,069",+/-472,"64,265","+/-1,536",95.8,+/-2.2,"55,326","+/-2,411",82.5,+/-3.5,"17,275","+/-2,372",25.8,+/-3.6,"2,804","+/-1,477",4.2,+/-2.2,,160,111,10046
Oxnard city,"208,887",+/-453,"177,124","+/-4,584",84.8,+/-2.2,"104,300","+/-6,369",49.9,+/-3.0,"84,143","+/-5,423",40.3,+/-2.6,"31,763","+/-4,557",15.2,+/-2.2,,160,111,54652
San Buenaventura (Ventura) city,"109,510",+/-762,"101,487","+/-2,175",92.7,+/-1.8,"71,849","+/-4,277",65.6,+/-3.9,"42,058","+/-3,906",38.4,+/-3.5,"8,023","+/-2,015",7.3,+/-1.8,,160,111,65042
Simi Valley city,"126,619",+/-221,"121,397","+/-1,196",95.9,+/-0.9,"97,063","+/-3,797",76.7,+/-3.0,"36,817","+/-3,658",29.1,+/-2.9,"5,222","+/-1,187",4.1,+/-0.9,,160,111,72016
Thousand Oaks city,"128,543",+/-223,"124,569","+/-1,647",96.9,+/-1.3,"106,927","+/-4,225",83.2,+/-3.3,"35,475","+/-4,028",27.6,+/-3.1,"3,974","+/-1,694",3.1,+/-1.3,,160,111,78582
Yolo County,"217,937",+/-641,"209,429","+/-1,647",96.1,+/-0.7,"156,986","+/-5,067",72.0,+/-2.3,"73,533","+/-5,012",33.7,+/-2.3,"8,508","+/-1,623",3.9,+/-0.7,,050,113,
Davis city,"68,789",+/-251,"67,327",+/-710,97.9,+/-0.9,"58,553","+/-2,340",85.1,+/-3.4,"15,809","+/-2,490",23.0,+/-3.6,"1,462",+/-633,2.1,+/-0.9,,160,113,18100
Yuba County,"75,194",+/-728,"70,181","+/-1,895",93.3,+/-2.3,"44,366","+/-3,931",59.0,+/-5.2,"33,339","+/-4,214",44.3,+/-5.6,"5,013","+/-1,758",6.7,+/-2.3,,050,115,
