PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,CITY_NAME,ACPTBL_POC_SW,CMPLNC_STUS_CD,SSA_CNTY_CD,CROSS_REF_PROVIDER_NUMBER,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,INTRMDRY_CARR_CD,MDCD_VNDR_NUM,ORGNL_PRTCPTN_DT,CHOW_PRIOR_DT,INTRMDRY_CARR_PRIOR_CD,PRVDR_NUM,RGN_CD,SKLTN_REC_SW,STATE_CD,SSA_STATE_CD,STATE_RGN_CD,ST_ADR,PGM_TRMNTN_CD,TRMNTN_EXPRTN_DT,CRTFCTN_ACTN_TYPE_CD,GNRL_CNTL_TYPE_CD,ZIP_CD,FIPS_STATE_CD,FIPS_CNTY_CD,CBSA_URBN_RRL_IND,CBSA_CD,AFFILIATED_PROVIDER_NUMBER_1,AFFILIATED_PROVIDER_NUMBER_2,AFFILIATED_PROVIDER_NUMBER_3,AFFILIATED_PROVIDER_NUMBER_4,AFFILIATED_PROVIDER_NUMBER_5,AFFILIATED_PROVIDER_NUMBER_6,Geography,Civilian noninstitutionalized population,Insured Estimate,Insured %,Privately Insured Estimate,Privately Insured Percent,Public or subsidized Coveraged,"
Public coverage 
 Percent",No health insurance coverage Estimate,No health insurance coverage Percent,Summary Level,County,Place,Geography.1,Total Civilian Noninstitutionalized Population,Avg orMedian age in years,Total Households Estimate,Prop Family households,Prop Nonfamily households,Average household size,Average family size,Gps living with gcs under 18 years,Prop  Gps caring for gc over 18,Number of Veterans,Veterans as Prop of population,Unemployed veterans Prop of labour force,Hispani or Latino,Hispanicor Latino Prop,White,White Prop,Black Estimate,Black Prop,Native American/Alaskan,Native American or Alaskan Prop,Asian,Asian Prop,Native Hawaiian/Pacific Islander,Native Hawaiian or Pacific Islander Prop,"Other Race Only, Not Hispanic or Latino","Other Race Only, Not Hispanic/Latino Prop","Two or more races alone, Not Hispanic or Latino Estimate","Two or more races alone, Not Hispanic or Latino Prop",Prop Native Born,Prop Foreign born,Prop of Foreign Born who are Naturalized U.S. citizen,Pop 5 years +,Pop 5 years + foreign language at home,Pop 5 years + with poor English,Unnamed: 0,lons,lats,names,grade,addresses,ZIP2
1,22,CARMICHAEL,N,B,440,NULL,20141031,Y,MERCY SAN JUAN MED CTR CLINICAL LAB,NULL,NULL,19950518,NULL,NULL,05D0683235,9,N,CA,5,LAB,6501 COYLE AVENUE,0,20190726,5,1,95608,6,67,U,40900,05D0614082,NULL,NULL,NULL,NULL,NULL,CARMICHAEL CDP,65524,61461,93.8,45190,69,26460,40.4,4063,6.2,160,67,11390,CARMICHAEL CDP,65524,40,25537,67.3,32.7,2.54,3.03,N,N,3305,6.2,17.9,7873,11.9,45144,68.4,2191,3.3,136,0.2,5244,8,0,0,185,0.3,5186,7.9,83.8,16.2,61.4,61987,20.8,7.9,157,-121.3140357,38.6696228,MERCY SAN JUAN MEDICAL CENTER,c,"6501 COYLE AVENUE
                CARMICHAEL, CA 95608-0306",956080306
1,22,CARMICHAEL,N,NULL,440,NULL,19930524,N,MERCY SAN JUAN HOSPITAL PUL FUNCT LAB,NULL,NULL,19930524,NULL,NULL,05D0684604,9,Y,CA,5,LAB,6501 COYLE AVE,0,20190816,NULL,1,95608,6,67,U,40900,NULL,NULL,NULL,NULL,NULL,NULL,CARMICHAEL CDP,65524,61461,93.8,45190,69,26460,40.4,4063,6.2,160,67,11390,CARMICHAEL CDP,65524,40,25537,67.3,32.7,2.54,3.03,N,N,3305,6.2,17.9,7873,11.9,45144,68.4,2191,3.3,136,0.2,5244,8,0,0,185,0.3,5186,7.9,83.8,16.2,61.4,61987,20.8,7.9,157,-121.3140357,38.6696228,MERCY SAN JUAN MEDICAL CENTER,c,"6501 COYLE AVENUE
                CARMICHAEL, CA 95608-0306",956080306
1,22,SACRAMENTO,N,NULL,440,NULL,19930106,N,KAISER FOUNDATION HOSPITAL SACRAMENTO LABORATORY,NULL,NULL,19930106,NULL,NULL,05D0681095,9,Y,CA,5,M2,2025 MORSE AVENUE,0,20190208,NULL,2,95825,6,67,U,40900,05D0954667,NULL,NULL,NULL,NULL,NULL,SACRAMENTO COUNTY,1517379,1431560,94.3,990709,65.3,616821,40.7,85819,5.7,50,67,NULL,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,162,-121.3919202,38.6018632,KAISER FOUNDATION HOSPITAL - SACRAMENTO,a,"2025 MORSE AVENUE
                SACRAMENTO, CA 95825-2115",958252115
1,22,SACRAMENTO,N,NULL,440,NULL,19930106,N,KAISER FOUNDATION HOSPITAL SACRAMENTO LABORATORY,NULL,NULL,19930106,NULL,NULL,05D0681095,9,Y,CA,5,M2,2025 MORSE AVENUE,0,20190208,NULL,2,95825,6,67,U,40900,05D0954667,NULL,NULL,NULL,NULL,NULL,SACRAMENTO CITY,497785,469251,94.3,309514,62.2,211357,42.5,28534,5.7,160,67,64000,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,162,-121.3919202,38.6018632,KAISER FOUNDATION HOSPITAL - SACRAMENTO,a,"2025 MORSE AVENUE
                SACRAMENTO, CA 95825-2115",958252115
1,22,FONTANA,N,NULL,460,NULL,19930210,N,SCPMG FONTANA MEDICAL OFFICES,NULL,NULL,19930210,NULL,NULL,05D0683315,9,Y,CA,5,M1,9961 SIERRA AVE,0,20200831,NULL,4,92335,6,71,U,40140,NULL,NULL,NULL,NULL,NULL,NULL,FONTANA CITY,211368,190613,90.2,119385,56.5,78947,37.4,20755,9.8,160,71,24680,FONTANA CITY,211368,29.3,52767,87.3,12.7,4,4.25,8913,20.4,4298,2.9,6.2,144376,68.2,31497,14.9,19507,9.2,335,0.2,9581,4.5,155,0.1,1061,0.5,5308,2.5,77.8,22.2,46.3,196622,54.1,16.1,24,-117.431968,34.072245,KAISER PERMANENTE FONTANA MEDICAL CENTER,a,"9961 SIERRA AVENUE
                FONTANA, CA 92335-6720",923356720
1,22,UPLAND,N,A,460,NULL,20180727,Y,SAN ANTONIO REGIONAL HOSPITAL BLOOD GAS LABORATORY,NULL,NULL,19930104,NULL,NULL,05D0690398,9,N,CA,5,M1,999 SAN BERNARDINO ROAD,0,20190314,5,3,91786,6,71,U,40140,NULL,NULL,NULL,NULL,NULL,NULL,UPLAND CITY,76615,73145,95.5,51676,67.4,27674,36.1,3470,4.5,160,71,81344,UPLAND CITY,76615,38.1,25582,74.9,25.1,2.98,3.4,N,N,2663,4.4,21.2,39840,51.8,26269,34.1,2527,3.3,0,0,6433,8.4,0,0,35,0,1881,2.4,83.8,16.2,61.7,72170,36.8,9.7,39,-117.6378263,34.1015661,SAN ANTONIO REGIONAL HOSPITAL,b,"999 SAN BERNARDINO ROAD
                UPLAND, CA 91786-4920",917864920
1,22,SAN DIEGO,N,NULL,470,NULL,19930219,N,KAISER FOUNDATION HOSPITALS SAN DIEGO,NULL,NULL,19930219,NULL,NULL,05D0689165,9,Y,CA,5,M1,4647 ZION AVE,0,20200730,NULL,3,92120,6,73,U,41740,NULL,NULL,NULL,NULL,NULL,NULL,SAN DIEGO COUNTY,3239196,2989604,92.3,2212713,68.3,1092039,33.7,249592,7.7,50,73,NULL,SAN DIEGO COUNTY,3239196,35.8,1126419,67.3,32.7,2.88,3.44,86136,26.4,210695,8.3,4.5,1129970,33.9,1512229,45.3,153740,4.6,12699,0.4,394340,11.8,12808,0.4,8019,0.2,113880,3.4,76.7,23.3,55,3125554,38,13.3,31,-117.0951878,32.7913395,KAISER PERMANENTE SAN DIEGO MEDICAL CENTER,a,"4647 ZION AVENUE
                SAN DIEGO, CA 92120-2507",921202507
1,22,SAN DIEGO,N,NULL,470,NULL,19930212,N,SCPMG SAN DIEGO PULMONARY PHYSIOLOGY LAB,NULL,NULL,19930212,NULL,NULL,05D0689248,9,Y,CA,5,M1,4647 ZION AVE,0,20200730,NULL,3,92120,6,73,U,41740,NULL,NULL,NULL,NULL,NULL,NULL,SAN DIEGO COUNTY,3239196,2989604,92.3,2212713,68.3,1092039,33.7,249592,7.7,50,73,NULL,SAN DIEGO COUNTY,3239196,35.8,1126419,67.3,32.7,2.88,3.44,86136,26.4,210695,8.3,4.5,1129970,33.9,1512229,45.3,153740,4.6,12699,0.4,394340,11.8,12808,0.4,8019,0.2,113880,3.4,76.7,23.3,55,3125554,38,13.3,31,-117.0951878,32.7913395,KAISER PERMANENTE SAN DIEGO MEDICAL CENTER,a,"4647 ZION AVENUE
                SAN DIEGO, CA 92120-2507",921202507
1,22,SAN DIEGO,N,NULL,470,NULL,19930219,N,KAISER FOUNDATION HOSPITALS SAN DIEGO,NULL,NULL,19930219,NULL,NULL,05D0689165,9,Y,CA,5,M1,4647 ZION AVE,0,20200730,NULL,3,92120,6,73,U,41740,NULL,NULL,NULL,NULL,NULL,NULL,SAN DIEGO CITY,1383566,1276584,92.3,958627,69.3,438662,31.7,106982,7.7,160,73,66000,SAN DIEGO COUNTY,3239196,35.8,1126419,67.3,32.7,2.88,3.44,86136,26.4,210695,8.3,4.5,1129970,33.9,1512229,45.3,153740,4.6,12699,0.4,394340,11.8,12808,0.4,8019,0.2,113880,3.4,76.7,23.3,55,3125554,38,13.3,31,-117.0951878,32.7913395,KAISER PERMANENTE SAN DIEGO MEDICAL CENTER,a,"4647 ZION AVENUE
                SAN DIEGO, CA 92120-2507",921202507
1,22,SAN DIEGO,N,NULL,470,NULL,19930212,N,SCPMG SAN DIEGO PULMONARY PHYSIOLOGY LAB,NULL,NULL,19930212,NULL,NULL,05D0689248,9,Y,CA,5,M1,4647 ZION AVE,0,20200730,NULL,3,92120,6,73,U,41740,NULL,NULL,NULL,NULL,NULL,NULL,SAN DIEGO CITY,1383566,1276584,92.3,958627,69.3,438662,31.7,106982,7.7,160,73,66000,SAN DIEGO COUNTY,3239196,35.8,1126419,67.3,32.7,2.88,3.44,86136,26.4,210695,8.3,4.5,1129970,33.9,1512229,45.3,153740,4.6,12699,0.4,394340,11.8,12808,0.4,8019,0.2,113880,3.4,76.7,23.3,55,3125554,38,13.3,31,-117.0951878,32.7913395,KAISER PERMANENTE SAN DIEGO MEDICAL CENTER,a,"4647 ZION AVENUE
                SAN DIEGO, CA 92120-2507",921202507
1,22,SAN DIEGO,N,NULL,470,NULL,19930219,N,KAISER FOUNDATION HOSPITALS SAN DIEGO,NULL,NULL,19930219,NULL,NULL,05D0689165,9,Y,CA,5,M1,4647 ZION AVE,0,20200730,NULL,3,92120,6,73,U,41740,NULL,NULL,NULL,NULL,NULL,NULL,SAN DIEGO COUNTY,3239196,2989604,92.3,2212713,68.3,1092039,33.7,249592,7.7,50,73,NULL,SAN DIEGO CITY,1383566,34.5,504208,60.2,39.8,2.74,3.4,31480,28.3,82562,7.5,5.7,429174,30.2,604167,42.6,82710,5.8,4009,0.3,237487,16.7,5949,0.4,5107,0.4,50885,3.6,74.1,25.9,55.4,1334830,40.6,14,31,-117.0951878,32.7913395,KAISER PERMANENTE SAN DIEGO MEDICAL CENTER,a,"4647 ZION AVENUE
                SAN DIEGO, CA 92120-2507",921202507
1,22,SAN DIEGO,N,NULL,470,NULL,19930212,N,SCPMG SAN DIEGO PULMONARY PHYSIOLOGY LAB,NULL,NULL,19930212,NULL,NULL,05D0689248,9,Y,CA,5,M1,4647 ZION AVE,0,20200730,NULL,3,92120,6,73,U,41740,NULL,NULL,NULL,NULL,NULL,NULL,SAN DIEGO COUNTY,3239196,2989604,92.3,2212713,68.3,1092039,33.7,249592,7.7,50,73,NULL,SAN DIEGO CITY,1383566,34.5,504208,60.2,39.8,2.74,3.4,31480,28.3,82562,7.5,5.7,429174,30.2,604167,42.6,82710,5.8,4009,0.3,237487,16.7,5949,0.4,5107,0.4,50885,3.6,74.1,25.9,55.4,1334830,40.6,14,31,-117.0951878,32.7913395,KAISER PERMANENTE SAN DIEGO MEDICAL CENTER,a,"4647 ZION AVENUE
                SAN DIEGO, CA 92120-2507",921202507
1,22,SAN DIEGO,N,NULL,470,NULL,19930219,N,KAISER FOUNDATION HOSPITALS SAN DIEGO,NULL,NULL,19930219,NULL,NULL,05D0689165,9,Y,CA,5,M1,4647 ZION AVE,0,20200730,NULL,3,92120,6,73,U,41740,NULL,NULL,NULL,NULL,NULL,NULL,SAN DIEGO CITY,1383566,1276584,92.3,958627,69.3,438662,31.7,106982,7.7,160,73,66000,SAN DIEGO CITY,1383566,34.5,504208,60.2,39.8,2.74,3.4,31480,28.3,82562,7.5,5.7,429174,30.2,604167,42.6,82710,5.8,4009,0.3,237487,16.7,5949,0.4,5107,0.4,50885,3.6,74.1,25.9,55.4,1334830,40.6,14,31,-117.0951878,32.7913395,KAISER PERMANENTE SAN DIEGO MEDICAL CENTER,a,"4647 ZION AVENUE
                SAN DIEGO, CA 92120-2507",921202507
1,22,SAN DIEGO,N,NULL,470,NULL,19930212,N,SCPMG SAN DIEGO PULMONARY PHYSIOLOGY LAB,NULL,NULL,19930212,NULL,NULL,05D0689248,9,Y,CA,5,M1,4647 ZION AVE,0,20200730,NULL,3,92120,6,73,U,41740,NULL,NULL,NULL,NULL,NULL,NULL,SAN DIEGO CITY,1383566,1276584,92.3,958627,69.3,438662,31.7,106982,7.7,160,73,66000,SAN DIEGO CITY,1383566,34.5,504208,60.2,39.8,2.74,3.4,31480,28.3,82562,7.5,5.7,429174,30.2,604167,42.6,82710,5.8,4009,0.3,237487,16.7,5949,0.4,5107,0.4,50885,3.6,74.1,25.9,55.4,1334830,40.6,14,31,-117.0951878,32.7913395,KAISER PERMANENTE SAN DIEGO MEDICAL CENTER,a,"4647 ZION AVENUE
                SAN DIEGO, CA 92120-2507",921202507
1,22,HAYWARD,N,B,0,NULL,20101202,Y,ST ROSE HOSPITAL LABORATORY,NULL,NULL,19920901,NULL,NULL,05D0699959,9,N,CA,5,M2,27200 CALAROGA AVE,0,20191130,5,2,94545,6,1,U,36084,05D0608765,NULL,NULL,NULL,NULL,NULL,HAYWARD CITY,159560,151009,94.6,103141,64.6,57870,36.3,8551,5.4,160,1,33000,HAYWARD CITY,159560,34.9,46860,73.9,26.1,3.35,3.85,7637,19.3,4430,3.6,1.9,65718,40.9,25960,16.2,13893,8.7,350,0.2,42519,26.5,2740,1.7,267,0.2,9038,5.6,61.8,38.2,55.6,150864,59.2,20.9,211,-122.087952,37.6337041,ST. ROSE HOSPITAL,c,"27200 CALAROGA AVENUE
                HAYWARD, CA 94545-4383",945454383
1,22,OAKLAND,N,NULL,0,NULL,19930602,N,SUMMIT MEDICAL CENTER NUCLEAR MEDICINE,NULL,NULL,19930602,NULL,NULL,05D0691784,9,Y,CA,5,LAB,350 HAWTHORNE AVE,33,19960831,NULL,2,94609,6,1,U,36084,NULL,NULL,NULL,NULL,NULL,NULL,OAKLAND CITY,423307,382550,90.4,256237,60.5,160262,37.9,40757,9.6,160,1,53000,OAKLAND CITY,423307,36.7,158851,55,45,2.63,3.4,9394,18.1,12670,3.7,5.6,120770,28.4,114971,27,97457,22.9,1315,0.3,65682,15.4,2563,0.6,1826,0.4,20620,4.8,71.9,28.1,42.7,398551,41.1,21.7,223,-122.262747,37.822057,ALTA BATES SUMMIT MEDICAL CENTER SUMMIT CAMPUS,c,"350 HAWTHORNE AVENUE
                OAKLAND, CA 94609",94609
1,22,WALNUT CREEK,N,NULL,60,NULL,19930223,N,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,NULL,NULL,19930223,NULL,NULL,05D0691746,9,Y,CA,5,M2,1601 YGNACIO VALLEY ROAD,0,20181201,NULL,2,94598,6,13,U,36084,NULL,NULL,NULL,NULL,NULL,NULL,WALNUT CREEK CITY,69053,67905,98.3,57552,83.3,22787,33,1148,1.7,160,13,83346,WALNUT CREEK CITY,69053,48.2,31648,55.4,44.6,2.18,2.92,N,N,3782,6.7,0,7324,10.5,43824,62.8,907,1.3,193,0.3,13339,19.1,161,0.2,217,0.3,3827,5.5,77,23,66.1,66284,26.2,10.2,196,-122.0408542,37.9130871,JOHN MUIR MEDICAL CENTER WALNUT CREEK CAMPUS,b,"1601 YGNACIO VALLEY ROAD
                WALNUT CREEK, CA 94598-3194",945983194
1,22,SOUTH SAN FRANCISCO,N,A,510,NULL,20030626,Y,KAISER FOUNDATION HOSPITAL-,NULL,NULL,19920901,NULL,NULL,05D0688613,9,N,CA,5,M2,1200 EL CAMINO REAL,0,20190227,5,3,94080,6,81,U,41884,NULL,NULL,NULL,NULL,NULL,NULL,SOUTH SAN FRANCISCO CITY,67378,62397,92.6,47888,71.1,21077,31.3,4981,7.4,160,81,73262,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,253,-122.4393133,37.6591974,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,a,"1200 EL CAMINO REAL
                SOUTH SAN FRANCISCO, CA 94080-3208",940803208
1,22,MOUNTAIN VIEW,N,NULL,530,NULL,19940308,N,EL CAMINO HEALTHCARE RADIOLOGY SERVICE,NULL,NULL,19940308,NULL,NULL,05D0675747,9,Y,CA,5,LAB,2500 GRANT ROAD,12,19950109,NULL,2,94040,6,85,U,41940,NULL,NULL,NULL,NULL,NULL,NULL,MOUNTAIN VIEW CITY,81307,75077,92.3,65143,80.1,14907,18.3,6230,7.7,160,85,49670,MOUNTAIN VIEW CITY,81307,34.5,33177,53.6,46.4,2.45,3.19,N,N,1745,2.6,0,15096,18.5,32445,39.8,678,0.8,0,0,30209,37.1,0,0,237,0.3,2778,3.4,52,48,34.9,76395,53,16.7,225,-122.080472,37.3693389,EL CAMINO HOSPITAL,b,"2500 GRANT ROAD
                MOUNTAIN VIEW, CA 94040",94040
1,22,REDDING,N,NULL,550,NULL,19921223,N,MERCY MED CENTR RESPIRATORY CARE DEPT,NULL,NULL,19921223,NULL,NULL,05D0683521,9,Y,CA,5,M2,2175 ROSALINE AVE,0,20191130,NULL,1,96001,6,89,U,39820,NULL,NULL,NULL,NULL,NULL,NULL,REDDING CITY,90659,85697,94.5,55278,61,41974,46.3,4962,5.5,160,89,59920,REDDING CITY,90659,37.9,38036,60.4,39.6,2.35,2.91,N,N,5575,7.7,10.3,10935,11.9,69895,76.1,1183,1.3,2367,2.6,4440,4.8,0,0,223,0.2,2745,3,91.4,8.6,36.4,86767,9.5,3.4,161,-122.395252,40.57182,MERCY MEDICAL CENTER OF REDDING,c,"2175 ROSALINE AVENUE
                REDDING, CA 96001",96001
1,22,VALLEJO,N,NULL,580,NULL,19930119,N,SUTTER SOLANO MEDICAL CENTER,NULL,NULL,19930119,NULL,NULL,05D0678389,9,Y,CA,5,M2,300 HOSPITAL DR,0,20190102,NULL,2,94589,6,95,U,46700,NULL,NULL,NULL,NULL,NULL,NULL,VALLEJO CITY,121457,114297,94.1,81274,66.9,48717,40.1,7160,5.9,160,95,81666,VALLEJO CITY,121457,36.5,41719,66.6,33.4,2.89,3.62,N,N,7544,8,3.5,34139,28,29394,24.1,23578,19.3,0,0,27958,22.9,1136,0.9,742,0.6,5139,4.2,74.5,25.5,61.5,114085,39.3,17.4,203,-122.2374074,38.131156,SUTTER SOLANO MEDICAL CENTER,d,"300 HOSPITAL DRIVE
                VALLEJO, CA 94589-2517",945892517
1,22,VALLEJO,N,NULL,580,NULL,19930111,N,KAISER FOUNDATION HOSPITAL VALLEJO LABORATORY,NULL,NULL,19930111,NULL,NULL,05D0685875,9,Y,CA,5,LAB,975 SERENO DR,0,20190227,NULL,4,94589,6,95,U,46700,NULL,NULL,NULL,NULL,NULL,NULL,VALLEJO CITY,121457,114297,94.1,81274,66.9,48717,40.1,7160,5.9,160,95,81666,VALLEJO CITY,121457,36.5,41719,66.6,33.4,2.89,3.62,N,N,7544,8,3.5,34139,28,29394,24.1,23578,19.3,0,0,27958,22.9,1136,0.9,742,0.6,5139,4.2,74.5,25.5,61.5,114085,39.3,17.4,204,-122.2484432,38.12767,KAISER FOUNDATION HOSPITAL - VALLEJO,a,"975 SERENO DRIVE
                VALLEJO, CA 94589-2441",945892441
1,22,SANTA ROSA,N,NULL,590,NULL,19930205,N,KAISER FOUNDATION HOSPITAL SANTA ROSA LABORATORY,NULL,NULL,19930205,NULL,NULL,05D0683953,9,Y,CA,5,M2,401 BICENTENNIAL WAY,0,20190613,NULL,2,95403,6,97,U,42220,NULL,NULL,NULL,NULL,NULL,NULL,SANTA ROSA CITY,173666,160637,92.5,119624,68.9,65140,37.5,13029,7.5,160,97,70098,SANTA ROSA CITY,173666,38.5,64155,61.2,38.8,2.68,3.39,N,N,8516,6.2,2.5,56953,32.5,93399,53.3,5359,3.1,1967,1.1,9162,5.2,1585,0.9,1559,0.9,5285,3,78.8,21.2,38.4,164871,31.5,14.5,231,-122.7270141,38.47212,KAISER FOUNDATION HOSPITAL - SANTA ROSA,a,"401 BICENTENNIAL WAY
                SANTA ROSA, CA 95403-2149",954032149
1,22,SANTA ROSA,N,NULL,590,05D0689851,19930205,N,KFH INPATIENT LAB-SANTA ROSA,NULL,NULL,19930205,NULL,NULL,05D0687156,9,Y,CA,5,LAB,401 BICENTENNIAL WAY,1,19970423,NULL,3,95403,6,97,U,42220,NULL,NULL,NULL,NULL,NULL,NULL,SANTA ROSA CITY,173666,160637,92.5,119624,68.9,65140,37.5,13029,7.5,160,97,70098,SANTA ROSA CITY,173666,38.5,64155,61.2,38.8,2.68,3.39,N,N,8516,6.2,2.5,56953,32.5,93399,53.3,5359,3.1,1967,1.1,9162,5.2,1585,0.9,1559,0.9,5285,3,78.8,21.2,38.4,164871,31.5,14.5,231,-122.7270141,38.47212,KAISER FOUNDATION HOSPITAL - SANTA ROSA,a,"401 BICENTENNIAL WAY
                SANTA ROSA, CA 95403-2149",954032149
1,22,SANTA ROSA,N,NULL,590,05D0683953,19930907,N,TPMG SANTA ROSA MEDICAL OFFICES LAB,NULL,NULL,19930907,NULL,NULL,05D0689851,9,Y,CA,5,LAB,401 BICENTENNIAL WAY,1,20000525,NULL,3,95403,6,97,U,42220,05D0683953,NULL,NULL,NULL,NULL,NULL,SANTA ROSA CITY,173666,160637,92.5,119624,68.9,65140,37.5,13029,7.5,160,97,70098,SANTA ROSA CITY,173666,38.5,64155,61.2,38.8,2.68,3.39,N,N,8516,6.2,2.5,56953,32.5,93399,53.3,5359,3.1,1967,1.1,9162,5.2,1585,0.9,1559,0.9,5285,3,78.8,21.2,38.4,164871,31.5,14.5,231,-122.7270141,38.47212,KAISER FOUNDATION HOSPITAL - SANTA ROSA,a,"401 BICENTENNIAL WAY
                SANTA ROSA, CA 95403-2149",954032149
1,22,FOUNTAIN VALLEY,N,NULL,400,05D0669704,19930129,N,FHP HOSPITAL FV BLOOD GAS LABORATORY,NULL,NULL,19930129,NULL,NULL,05D0677993,9,Y,CA,5,LAB,9920 TALBERT AVENUE,1,19960111,NULL,4,92708,6,59,U,11244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,-117.9556226,33.7003907,ORANGE COAST MEMORIAL MEDICAL CENTER,a,"9920 TALBERT AVENUE
                FOUNTAIN VALLEY, CA 92708-5153",927085153
1,22,FOUNTAIN VALLEY,N,NULL,400,05D0669704,19940111,N,FHP HOSPITAL,NULL,NULL,19940111,NULL,NULL,05D0678256,9,Y,CA,5,LAB,9920 TALBERT,1,19960111,NULL,4,92708,6,59,U,11244,05D0580772,05D0580771,05D0664776,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,73,-117.9556226,33.7003907,ORANGE COAST MEMORIAL MEDICAL CENTER,a,"9920 TALBERT AVENUE
                FOUNTAIN VALLEY, CA 92708-5153",927085153
1,22,LAGUNA HILLS,N,A,400,NULL,20110817,Y,SADDLEBACK MEM MED CTR/PULM PHYS LAB,NULL,NULL,19921229,NULL,NULL,05D0682068,9,N,CA,5,M1,24451 HEALTH CENTER DR,0,20191130,5,2,92653,6,59,U,11244,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,50,-117.7087247,33.6089013,SADDLEBACK MEMORIAL MEDICAL CENTER OF LAGUNA HILLS,c,"24451 HEALTH CENTER DRIVE
                LAGUNA HILLS, CA 92653-3689",926533689
1,22,LOMA LINDA,N,NULL,460,NULL,19950307,N,"LOMA LINDA UNIVERSITY MED CENTER,",NULL,NULL,19950307,NULL,NULL,05D0682537,9,Y,CA,5,M1,11234 ANDERSON ST,0,20181103,NULL,1,92354,6,71,U,40140,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14,-117.2639465,34.0507571,LOMA LINDA UNIVERSITY MEDICAL CENTER,a,"11234 ANDERSON STREET
                LOMA LINDA, CA 92354",92354
1,22,MARTINEZ,N,A,60,NULL,20070306,Y,CONTRA COSTA HEALTH SERVICES,NULL,NULL,19930224,NULL,NULL,05D0683109,9,N,CA,5,M2,2500 ALHAMBRA AVE,0,20190102,5,6,94553,6,13,U,36084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,198,-122.1327937,38.006764,CONTRA COSTA REGIONAL MEDICAL CENTER,c,"2500 ALHAMBRA AVENUE
                MARTINEZ, CA 94553-3156",945533156
